question_id,ifp_id,discover_id,start_date,end_date,is_resolved,resolved_date,resolution,is_voided,voided_date,title,description,categories,clarification,scoring_start_time,scoring_end_time,correctness_known_at,has_historic_data,is_ordinal,has_cameo_model,cameo_sources,cameo_targets,cameo_codes,cameo_range,cameo_date,rt_query,election,country,region,num_options,option_1,option_2,option_3,option_4,option_5
32,2655,410,2018-12-12 17:30:00+00:00,2018-12-31 19:01:00+00:00,TRUE,2019-01-03 13:54:25.227000+00:00,More than 13,FALSE,,How many orbital launches will occur in December 2018 as reported by Wikipedia?,"This question will be resolved using the number of orbital launches reported in <a href=""https://en.wikipedia.org/wiki/2018_in_spaceflight#Orbital_launches""target=""_blank"">Wikipedia</a>. In the 'Orbital launches' table, a launch is counted if at least one of its payloads is 'Successful', 'Operational', or 'En Route' as noted in the 'Outcome' column. Note that a single rocket launch could have multiple payloads. Question will be resolved based on the data reported in Wikipedia at 11:59 PM ET on the first day of the following month (e.g., data reported 1 February at 11:59 PM ET if question concerns launches in January).",Other,,2018-12-12 19:01:00+00:00,2018-12-26 19:00:59+00:00,2018-12-27 02:07:51+00:00,TRUE,TRUE,FALSE,,,,,,,FALSE,,,3,Less than 11,"Between 11 and 13, inclusive",More than 13,,
33,2664,418,2018-12-12 17:30:00+00:00,2018-12-31 19:01:00+00:00,TRUE,2019-01-16 18:28:54.649000+00:00,"Between 75 and 80, inclusive",FALSE,,How many aid workers will have been killed or kidnapped in Syria between January and December 2018 according to the Aid in Danger (AiD) project?,"The Aid in Danger (AiD) project collects information on events that interfere with the delivery of humanitarian aid (<a href = ""http://www.insecurityinsight.org/aidindanger/digests/""target=""_blank"">http://www.insecurityinsight.org/aidindanger/digests/</a>). To access the relevant report:
- Look under the header 'The Aid in Danger Monthly News Brief'; 
- Select 'The Aid in Danger Monthly News Brief' for the latest month of interest;
- Click 'Download.' 
The relevant data is listed in the 'Aid workers killed, kidnapped and arrested in selected countries in 2018' table in the 'Killed' and 'Kidnapped' columns. This question will be resolved by consulting the data source once each week sometime between 10:00 AM ET Wednesday and 4:00 PM ET Thursday, starting the Wednesday after the question close date and continuing once each week until the data are successfully retrieved. ",Other,,2018-12-12 19:01:00+00:00,2018-12-31 19:00:59+00:00,2019-01-16 17:10:21+00:00,FALSE,TRUE,FALSE,,,,,,,FALSE,,,5,Less than 75,"Between 75 and 80, inclusive",More than 80 but less than 85,"Between 85 and 90, inclusive",More than 90
34,2673,419,2018-12-12 17:30:00+00:00,2018-12-31 19:01:00+00:00,TRUE,2019-01-23 20:34:19.976000+00:00,More than 181 but less than 201,FALSE,,How many homicides will the Mexican government report for Chihuahua in December 2018?,"This question will be resolved using data reported by The Executive Secretariat of the National Public Security System of the Mexican government. To download the relevant data: - Go to <a href=""https://www.gob.mx/sesnsp/acciones-y-programas/victimas-nueva-metodologia?state=published""target=""_blank"">National Public Security System</a>;- Download the spreadsheet (under the header ‰Û÷Reportes de vÌ_ctimas por aÌ±o (formato XLSX‰Ûª) entitled ‰Û÷Victimas 2018.‰Ûª The number of homicides are reported in the ‰Û÷Homicidio‰Ûª row for the period of interest. This question will be resolved by consulting the data source once each week sometime between 10:00 AM ET Wednesday and 4:00 PM ET Thursday, starting the Wednesday after the question close date and continuing once each week until the data are successfully retrieved.åÊ",Politics/Intl Relations,,2018-12-12 19:01:00+00:00,2018-12-31 19:00:59+00:00,2019-01-23 19:29:14+00:00,TRUE,TRUE,FALSE,,,,,,,FALSE,,,5,Less than 159,"Between 159 and 181, inclusive",More than 181 but less than 201,"Between 201 and 227, inclusive",More than 227
35,2682,421,2018-12-12 17:30:00+00:00,2018-12-31 19:01:00+00:00,TRUE,2019-02-06 14:18:32.400000+00:00,"More than 56,000 and less than 69,000",FALSE,,"What will be the price of water (potable, drinking) in Lasanod (Somalia) in December 2018?","The Famine Early Warning Systems Network (FEWS NET) provides early warning and analysis on acute food insecurity around the world. The question will be resolved using data downloaded from FEWS NET at: <a href=""http://fews.net/content/staple-food-price-data-1995-present"">http://fews.net/content/staple-food-price-data-1995-present</a>. The relevant price can be found where 'country' is the country of interest; 'market' is the market of interest; 'product' is the product of interest; and 'period_date' is the date of interest.",Other,,2018-12-12 19:01:00+00:00,2018-12-31 19:00:59+00:00,2019-02-06 14:10:21+00:00,TRUE,TRUE,FALSE,,,,,,,FALSE,,,5,"Less than 40,000","Between 40,000 and 56,000, inclusive","More than 56,000 and less than 69,000","Between 69,000 and 85,000, inclusive","More than 85,000"
36,2691,422,2018-12-12 17:30:00+00:00,2018-12-18 19:01:00+00:00,TRUE,2018-12-21 14:20:51.692000+00:00,"More than 67.3 but less than 68.5, inclusive",FALSE,,What will be the closing value of the Russian Ruble to one U.S. Dollar exchange rate on 19 December 2018?,"This question will be resolved using the closing value reported by Bloomberg for the date of interest.
- Go to <a href=""https://www.bloomberg.com/quote/USDRUB:CUR""target=""_blank"">Bloomberg</a>. 
- Click 'VIEW FULL CHART' above the chart on the right;
- Click the one month time frame '1M'.
 Question will be closed the day before the date of interest.",Macroeconomics/Finance,,2018-12-12 19:01:00+00:00,2018-12-18 19:00:59+00:00,2018-12-20 18:05:48+00:00,FALSE,TRUE,FALSE,,,,,,,FALSE,,,5,Less than 65.1 ,"More than 65.1 but less than 66.3, inclusive",Between 66.3 and 67.3,"More than 67.3 but less than 68.5, inclusive",More than 68.5
37,2700,423,2018-12-12 17:30:00+00:00,2019-01-31 19:01:00+00:00,TRUE,2019-02-06 19:12:40.477000+00:00,Less than 3.57,FALSE,,What will be the long-term interest rate for Hungary (HUN) in January 2019?,"This question will be resolved using monthly data reported by the Organization for Economic Cooperation and Development (OECD) at <a href=""https://data.oecd.org/interest/long-term-interest-rates.htm""target=""_blank"">OECD long-term interest rates</a>. To access the relevant data: - Select 'Table';- Select the country of interest in the 'Countries' field;- Use the slider bar to select the time period of interest in the 'Time' field. This question will be resolved by consulting the data source CSV file once each week sometime between 10:00 AM ET Wednesday and 4:00 PM ET Thursday, starting the Wednesday after the question close date and continuing once each week until the data are successfully retrieved.åÊ",Macroeconomics/Finance,,2018-12-12 19:01:00+00:00,2019-01-31 19:00:59+00:00,2019-02-06 16:46:19+00:00,TRUE,TRUE,FALSE,,,,,,,FALSE,,,3,Less than 3.57,"More than 3.57 but less than 3.91, inclusive",More than 3.97,,
38,2709,424,2018-12-12 17:30:00+00:00,2019-01-04 19:01:00+00:00,TRUE,2019-01-07 18:35:44.703000+00:00,No,FALSE,,Will Turkey execute or be targeted in an acknowledged national military attack between 13 December 2018 and 4 January 2019 (excludes attacks involving Syria or Iraq)? ,"""Acknowledged‰Û means the government of the country executing the attack claims responsibility for it. ‰ÛÏA ‰ÛÏnational military attack‰Û includes the employment of conventional or unconventional weapons by one country‰Ûªs national military forces on another country‰Ûªs military, military assets, or territory, including citizens located within that territory, but excluding territorial waters, foreign missions, and/or exclusive economic zones. A ‰ÛÏcyber‰Û attack will not qualify as a ‰ÛÏnational military attack.‰Û Attacks by specific military or paramilitary units or non-state actors will not qualify as ‰ÛÏnational military attacks‰Û unless the government claims responsibility for them.",Politics/Intl Relations,,2018-12-12 19:01:00+00:00,2019-01-04 19:00:59+00:00,2019-01-07 18:15:47+00:00,FALSE,FALSE,TRUE,,tr,19,3,,,FALSE,,,2,Yes,No,,,
39,2718,425,2018-12-12 17:30:00+00:00,2019-02-27 19:01:00+00:00,TRUE,2019-02-28 14:56:01.151000+00:00,No,FALSE,,Will there be a biological attack resulting in multiple human casualties before 28 February 2019?,"A biological attack is defined as the intentional release of a pathogen (disease-causing agent) or biotoxin (poisonous substance produced by a living organism) by a government, military, paramilitary, terrorist, or criminal entity that results in unwanted harm/damage to a human, plant, or animal. A ‰ÛÏyes‰Û resolution requires that the media reports that the event is consistent with an intentional act and that multiple humans (excluding alleged perpetrators) are sickened, injured or killed in conjunction with the attack.",Other,,2018-12-12 19:01:00+00:00,2019-02-27 19:00:59+00:00,2019-02-28 14:33:16+00:00,FALSE,FALSE,FALSE,,,,,,,FALSE,,,2,Yes,No,,,
40,2727,426,2018-12-12 17:30:00+00:00,2019-01-22 19:01:00+00:00,TRUE,2019-01-23 19:54:08.581000+00:00,No,FALSE,,Will Mexico file a trade dispute against any country with the WTO between 13 December 2018 and 22 January 2019?,"This question will resolve as ‰ÛÏyes‰Û if the World Trade Organization (WTO) reports a trade dispute with Mexico as the claimant during the period of interest. To access the list of trade disputes:
- Go to  <a href = ""https://www.wto.org/english/tratop_e/dispu_e/find_dispu_cases_e.htm""target=""_blank"">WTO Disputes</a>;
- Select ‰Û÷2018‰Ûª as the ‰Û÷Year dispute was brought to the WTO‰Ûª;
- Select ‰Û÷Mexico‰Ûª 'as complainant‰Ûª;
- Click ‰Û÷Search‰Ûª;
- Repeat process using ‰Û÷2019‰Ûª as the year.
The dispute cases that match the entered criteria are displayed. The ‰Û÷Request for Consultations‰Ûª date will be used as the trade dispute date.",Politics/Intl Relations,,2018-12-12 19:01:00+00:00,2019-01-22 19:00:59+00:00,2019-01-23 19:07:02+00:00,TRUE,FALSE,FALSE,,,,,,Will Mexico file a trade dispute against any country with the WTO?,FALSE,,,2,Yes,No,,,
41,2736,428,2018-12-12 17:30:00+00:00,2018-12-18 19:01:00+00:00,TRUE,2018-12-19 16:44:02.341000+00:00,No,FALSE,,Will any of the Ukrainian sailors captured by Russia in November 2018 be returned to Ukraine by 18 December 2018?,"Credible reports by the deadline that one or more Ukrainian sailors captured by Russia in November 2018 have arrived within Ukraine will be sufficient to resolve as ""yes.""  See, e.g.,  <a href=""https://www.theguardian.com/world/2018/dec/02/putin-refuses-to-release-ukrainian-sailors-and-ships""target=""_blank"">https://www.theguardian.com/world/2018/dec/02/putin-refuses-to-release-ukrainian-sailors-and-ships</a>.",Politics/Intl Relations,,2018-12-12 19:01:00+00:00,2018-12-18 19:00:59+00:00,2018-12-19 16:15:44+00:00,FALSE,FALSE,TRUE,ru,ua,"02,03,08",3,,,FALSE,,,2,Yes,No,,,
