Health/Disease,Macroeconomics/Finance,Natural Sciences/Climate,Other,Politics/Intl Relations,Technology,date,entropy_b,entropy_c,entropy_d,entropy_human,entropy_sage,entropy_te,ifp_id,n_forecasts,n_forecasts_b,n_forecasts_c,n_forecasts_d,n_forecasts_sage,n_forecasts_te,ordinal,p_updates,stage,variance_b,variance_c,variance_d,variance_human,variance_sage,variance_te
0,0,0,0,1,0,2018-05-02,0,0,0,0.690226547,0,0,1568,2,0,1,0,1,1,0,0,0.098591549,0,0,0,0.1281,0,0
0,1,0,0,0,0,2018-05-02,0,0.682302323,0,0.682302323,0.682302323,0,929,2,0,2,0,2,0,1,0,0.658823529,0,0.0926,0,0.0926,0.0926,0
0,0,0,0,1,0,2018-05-02,0,0.642641853,0,0.642641853,0.642641853,0,1163,2,0,2,0,2,0,0,0,0.247058824,0,0.4509,0,0.4509,0.4509,0
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,1397,1,0,1,0,1,0,0,0,0.49122807,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0,0,0.200275779,0,0.010450222,1325,3,0,1,0,1,2,1,0,0.49122807,0,0,0,0.022223578,0,0.024133333
0,0,1,0,0,0,2018-05-02,0,0.335307757,0,0.335307757,0.335307757,0,1514,2,0,2,0,2,0,1,0,0.325581395,0,0.319,0,0.319,0.319,0
0,0,0,0,1,0,2018-05-02,0,0.55458312,0,0.868969222,0.55458312,0,1757,3,0,2,0,2,1,0,0,0,0,0.5499,0,0.571512621,0.5499,0
0,0,0,1,0,0,2018-05-02,0,0,0,1.091356762,0,0.752079687,1730,4,0,1,0,1,3,1,0,0,0,0,0,0.400833488,0,0.300453616
0,0,0,1,0,0,2018-05-02,0,0,0,0,0,0,1550,1,0,1,0,1,0,1,0,0.098591549,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0.994844051,0,1.285249029,0.994844051,0,1766,5,0,4,0,4,1,0,0,0,0,0.389968422,0,0.349847999,0.389968422,0
0,0,0,0,0,1,2018-05-02,0,0,0,1.315361377,0,1.024222933,1694,4,0,1,0,1,3,1,0,0,0,0,0,0.484760685,0,0.517403185
1,0,0,0,0,0,2018-05-02,0,0,0,0,0,0,1703,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2018-05-02,0,0,0,0,0,0,875,1,0,1,0,1,0,1,0,0.486956522,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0.621825721,0,1.352755223,0.621825721,0.877225061,1739,5,0,2,0,2,3,0,0,0,0,0.0744,0,0.266455682,0.0744,0.296348144
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,1640,1,0,1,0,1,0,0,0,0.077777778,0,0,0,0,0,0
0,0,0,0,1,0,2018-05-02,0,0,0,0.313708986,0,0,1685,2,0,1,0,1,1,0,0,0.106060606,0,0,0,0.2775,0,0
0,0,0,0,1,0,2018-05-02,0,0.447785194,0,0.596734591,0.447785194,0,1649,3,0,2,0,2,1,0,0,0.059322034,0,0.1625,0,0.16913177,0.1625,0
0,0,0,0,1,0,2018-05-02,0,0,0,0.857105713,0,0.325878341,1631,3,0,1,0,1,2,0,0,0.104477612,0,0,0,0.220279661,0,0.2206
0,0,0,0,1,0,2018-05-02,0,0,0,0,0,0,1469,1,0,0,0,0,1,0,0,0.140939597,0,0,0,0,0,0
