date,ifp_id,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,ARCH.LM,crossing_points,entropy,flat_spots,alpha,beta,hurst,lumpiness,nonlinearity,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,stability,unitroot_kpss,unitroot_pp,series_length,ratio,skew
2019-04-11,498,0.0374,0.02,-0.4592,0.2436,-0.6372,0.4495,-0.0328,0.0025,64.0,0.997,43.0,0.0095,0.0095,0.5111,0.0171,0.4149,0.0064,0.4789,0.9406,-0.0311,1.0,33.0,0.0905,0.0013,1.6048,1.0081,-0.0118,0.0338,0.2885,13.0,16.0,0.0033,0.2078,-112.4506,120.0,0.5464,2.0699
2019-04-12,498,0.0374,0.02,-0.4592,0.2436,-0.6372,0.4495,-0.0328,0.0025,64.0,0.997,43.0,0.0095,0.0095,0.5111,0.0171,0.4149,0.0064,0.4789,0.9406,-0.0311,1.0,33.0,0.0905,0.0013,1.6048,1.0081,-0.0118,0.0338,0.2885,13.0,16.0,0.0033,0.2078,-112.4506,120.0,0.5464,2.0699
2019-04-13,498,0.0374,0.02,-0.4592,0.2436,-0.6372,0.4495,-0.0328,0.0025,64.0,0.997,43.0,0.0095,0.0095,0.5111,0.0171,0.4149,0.0064,0.4789,0.9406,-0.0311,1.0,33.0,0.0905,0.0013,1.6048,1.0081,-0.0118,0.0338,0.2885,13.0,16.0,0.0033,0.2078,-112.4506,120.0,0.5464,2.0699
2019-04-11,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-12,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-13,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-14,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-15,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-16,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
2019-04-17,499,-0.0528,0.0664,-0.4296,0.2256,-0.6321,0.4407,-0.0595,0.0552,7.0,0.9975,26.0,0.1056,0.0001,0.5,1.5495,0.0,0.0195,0.2585,0.6242,-0.0872,1.0,7.0,0.1594,0.0012,-0.7687,0.9714,-0.2336,0.2095,0.1672,1.0,3.0,0.0951,0.1196,-61.2634,62.0,0.6925,2.1157
