created_at,question_id,hfc_id,discover_id,num_options,option_1,option_2,option_3,option_4,option_5
2019-04-03 19:05:11.512893+00:00,143,3447,501,5,0.0351,0.3351,0.35,0.1931,0.0868
2019-04-03 22:23:44.196983+00:00,146,3474,498,5,0.0009,0.0177,0.0806,0.3008,0.6
2019-04-10 00:19:33.065932+00:00,143,3447,501,5,0.0351,0.3351,0.35,0.1931,0.0868
2019-04-11 22:44:55.323552+00:00,143,3447,501,5,0.0351,0.3351,0.35,0.1931,0.0868
2019-04-11 22:54:36.934557+00:00,153,3528,523,5,0.4318,0.0863,0.0777,0.0424,0.3618
2019-04-11 23:01:24.181781+00:00,155,3546,521,5,1.1096e-07,0.0012,0.026,0.1386,0.8342
2019-04-11 22:47:44.734241+00:00,158,3573,518,5,0.0092,0.4458,0.4923,0.0525,0.0001
2019-04-11 22:45:43.432705+00:00,159,3582,517,5,2.9261e-08,1.5021e-06,0.0,0.0001,0.9999
2019-04-11 22:50:28.731713+00:00,160,3591,516,3,0.1287,0.083,0.7883
2019-04-11 23:15:28.808380+00:00,161,3600,515,5,0.043,0.1326,0.1936,0.2716,0.3592
2019-04-12 21:48:54.718699+00:00,143,3447,501,5,0.0351,0.3351,0.35,0.1931,0.0868
2019-04-12 21:38:10.882403+00:00,153,3528,523,5,0.9997,0.0003,9.1108e-11,0.0,0.0
2019-04-12 21:45:08.302629+00:00,155,3546,521,5,1.1096e-07,0.0012,0.026,0.1386,0.8342
2019-04-12 21:51:35.422630+00:00,158,3573,518,5,0.0094,0.4851,0.4688,0.0366,0.0
2019-04-12 21:54:33.023146+00:00,160,3591,516,3,0.1475,0.152,0.7005
2019-04-12 22:12:16.127574+00:00,161,3600,515,5,0.044,0.1332,0.1928,0.2699,0.3601
2019-04-13 22:32:39.341948+00:00,143,3447,501,5,0.0351,0.3351,0.35,0.1931,0.0868
2019-04-13 22:34:04.484327+00:00,153,3528,523,5,0.443,0.1058,0.0932,0.0495,0.3086
2019-04-13 22:40:37.709591+00:00,155,3546,521,5,1.1096e-07,0.0012,0.026,0.1386,0.8342
